id,question_text,option_a,option_b,option_c,option_d,correct_answer,difficulty
298,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
299,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
300,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
301,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
302,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
303,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
304,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
305,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
306,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
307,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
308,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
309,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
310,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
311,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
312,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
313,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
314,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
315,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
316,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
317,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
318,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
319,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
320,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
321,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
322,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
323,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
324,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
325,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
326,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
327,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
328,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
329,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
330,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
331,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
332,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
333,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
334,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
335,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
336,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
337,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
338,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
339,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
340,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
341,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
342,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
343,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
344,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
345,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
346,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
347,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
348,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
349,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
350,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
351,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
352,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
353,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
354,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
355,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
356,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
357,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
358,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
359,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
360,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
361,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
362,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
363,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
364,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
365,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
366,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
367,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
368,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
369,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
370,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
371,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
372,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
373,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
374,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
375,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
376,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
377,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
378,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
379,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
380,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
381,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
382,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
383,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
384,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
385,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
386,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
387,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
388,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
389,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
390,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
391,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
392,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
393,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
394,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
395,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
396,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
397,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
398,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
399,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
400,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
401,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
402,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
